ID,Name,Description
1,The Fool,어느 방에 있든 현재 층의 시작 지점으로 텔레포트한다.
2,The Magician (마술사),캐릭터의 공격에 유도 효과를 추가하지만 현재 방 안에서만 효과가 있다.
3,The High Priestess (여교황),엄마의 발이 적을 향해서 떨어지며 300의 폭발성 피해를 입힌다.
4,The Empress,"현재방에서만 Whore of Babylon(바빌론의 창녀) 아이템 효과(공격력 +1.5, 스피드 +0.3)를 발동한다."
5,The Emperor (황제),보스 방으로 텔레포트한다.
6,The Hierophant (교황),소울 하트를 2개 소환한다.
7,The Lovers (연인),빨간 하트를 2개 생성한다.
8,The Chariot (전차),"6초간 무적이 되며 눈물을 발사할 수 없지만, 접촉하는 적에게 40의 데미지"
9,Justice (정의),"폭탄, 열쇠, 하트, 동전을 하나씩 소환한다."
10,The Hermit (은둔자),폭탄상점으로 텔레포트한다.
11,Wheel of Fortune (운명의 수레바퀴),슬롯머신 또는 점술 기계를 소환한다. 점술 기계만 있는 일급비밀방에서 사용시 항상 점술 기계만 나온다.
12,Strength (힘),"현재방에서만 최대체력 1칸, 데미지 0.5, 사거리 5.25, 공속 0.3, 눈물 높이 0.5 증가,공격력 1.5배,캐릭터 사이즈 증가 를 얻는다. 아이템을 가지고 있거나 한번더 사용했을경우엔 공격력 1.5배를 제외하곤 중첩이 가능하다."
13,The Hanged Man (매달린 남자),"현재방에서만 Transcendence(초월) 아이템 효과(몸이 사라지고 얼굴만 떠다니며, 비행 효과)를 얻는다."
14,Death (죽음),현재방의 적 전체에게 40 대미지를 준다.
15,Temperance (절제),헌혈 기계를 생성한다.헌혈 기계를 생성한다.
16,The Devil (악마),현재방에서만 공격력 +2를 얻는다.
17,The Tower (탑),트롤 폭탄 6개를 임의의 위치에 생성한다.
18,The Stars (별),천체관으로 텔레포트한다. 천체관이 없으면 보물방으로 텔레포트한다.
19,The Moon (달),비밀 방으로 텔레포트한다.
20,The Sun (태양),"빨간하트 체력을 모두 회복하고, 현재방의 적 전체에게 100 대미지를 주고, 일급 비밀방을 제외한 현재 층의 지도를 밝힌다."
21,Judgement (심판),거지를 소환한다.
22,The World (세계),일급 비밀방을 제외한 현재 층의 지도를 밝힌다.
23,2 of Clubs (클럽 2),현재 소유하고 있는 폭탄을 2배로 늘린다.
24,2 of Diamonds (다이아몬드 2),현재 소유하고 있는 동전을 2배로 늘린다.
25,2 of Spades (스페이드 2),현재 소유하고 있는 열쇠를 2배로 늘린다.
26,2 of Hearts (하트 2),현재 남아있는 빨간 하트 체력을 2배로 회복한다.
27,Ace of Clubs,사용 시 방 안의 모든 몬스터와 픽업아이템과 상자가 폭탄으로 바뀐다.
28,Ace of Diamonds,사용 시 방 안의 모든 몬스터와 픽업아이템과 상자가 동전으로 바뀐다.
29,Ace of Spades,사용 시 방 안의 모든 몬스터와 픽업아이템과 상자가 열쇠로 바뀐다.
30,Ace of Hearts,사용 시 방 안의 모든 몬스터와 픽업아이템과 상자가 하트로 바뀐다.
31,Joker (조커),악마 방이나 천사 방으로 텔레포트한다.
32,Hagalaz,"사용 시 해당 방 안에 있는 파괴 가능한 모든 오브젝트(돌, 해골, 버섯 등)를 파괴한다."
33,Jera,사용 시 해당 방 안에 떨어져 있는 일부를 제외한 모든 픽업 아이템을 2배로 늘린다.
34,Ehwaz,"1회용으로 We Need to Go Deeper! 아이템과 같이 트랩도어를 생성한다. ???, Sheol/Chthedral 이상 스테이지에서는 사용할 수 없다."
35,Dagaz,해당 스테이지에 걸려있는 저주를 제거한다. 소울 하트 1개를 획득한다.
36,Ansuz,"비밀방, 일급 비밀방도 포함해 해당 스테이지의 맵 구조를 모두 보여준다."
37,Perthro,사용 시 해당 방 안에 있는 패시브/액티브 아이템 배열을 바꾼다. D6와 동일한 효과.
38,Berkano,사용하면 아군 파리 3마리와 아군 거미 3마리를 소환한다.
39,Algiz,플레이어에게 보호막을 씌운다.
40,Blank Rune,사용 시 무작위로 임의의 룬 효과를 사용하며 25% 확률로 Blank Rune 한개를 드랍한다.
