ID,active,Name,Description
1,0,The Sad Onion(눈물나는 양파),아이작의 눈이 초롱초롱해지며 눈물을 폭포같이 흘린다. 공속 0.7 상승. 맥밀런이 본작에서 처음으로 제작한 아이템.
2,0,The Inner Eye(내면의 눈),"캐릭터가 3발씩 쏘는 대신, 공속이 느려진다. 공속 계산은 (최종 계산된 공속 * 2.1 + 3)이며 공속에 대해 자세한 내용은 아이작의 번제: 리버스/시스템 참고"
3,0,Spoon Bender(초능력자),"눈물이 보라색으로 변하고 유도 기능이 추가된다. 몹이 Z축으로 상승하는 경우, 눈물들이 다시 내려올 지점에 가서 일정 시간 맴돌다가 발이나 심장이 내려오면 한꺼번에 맞는다."
4,0,Cricket's Head(크리켓의 머리),눈이 더 커지고 그렁그렁하는 모양도 더 커진 모습을 하게 된다. 눈물의 크기가 조금 커진다. 대미지를 0.5 올리고 아이작의 공격력 배율을 1.5배 늘린다. 아이템 명칭과 이미지가 바뀐 템으로 이전에는 맥스의 머리였다. 그래서인지 파일을 뜯어보면 여전히 맥스의 머리라는 이름으로 발견된다.
5,0,My Reflection(거울상),"눈물이 부메랑처럼 되돌아온다. 사거리 1.5, 눈물 속도 0.6, 눈물 높이 1.0 증가. 컨트롤이 어려워지지만, 체공시간이 조금 길어진다."
6,0,Number One(오줌싸개),"아이작이 눈물 색이 노래지며 눈물 위치가 아래로 바뀌어서 오줌을 싸는 듯하다. 공속 1.5 증가, 사거리 17.62 감소, 눈물 높이 0.76 증가."
7,0,Blood of the Martyr(순교자의 피),공격력 1 상승. 눈물 색깔을 빨간색으로 바꾼다. 이 아이템은 예수님이 머리에 쓰고 있는 그 가시면류관으로 이름은 요한계시록 17장 6절에 언급되는 내용이며 국내에서는 예수의 증인들의 피로 언급된다.
8,0,Brother Bobby(보비 형),패밀리어. 캐릭터를 따라다니면서 캐릭터가 공격할 때 대미지 3.5의 속성이 없는 보통 눈물을 비교적 빠른 속도로 같이 발사한다.설정상으로는 사산당한 아이작의 형제라고.Conjoined 변신 세트 아이템 중 하나이다. 아이템 이미지는 맥밀런이 제작한 Dead Baby Dressup의 캐릭터에서 참고했으며 이름은 맥밀런이 어릴 때 가지고 있던 인형의 이름이라고 한다.
9,0,Skatole(스카톨),"똥을 머리에 쓴다. 오직 도박 거지에게서만 얻게 되며 얻게 되면 도박 거지는 사라지고 이후 그 게임에서 한 번 더 도박 거지를 보게 되어도 아이템은 다시 나오지 않는다.아이템 획득 이후 적으로 나오는 파리들이 대부분 중립 또는 친화적으로 변한다.Beelzebub 변신 세트, Oh Crap 변신 세트 아이템 중 하나이다."
10,0,Halo of Flies(파리 떼),검은 파리 두 마리가 캐릭터 주위를 맴돌며 적들의 발사체를 막아준다. 일부 파리 몹들에게는 접촉 피해가 있다. 캐릭터 주위를 도는 다른 아이템과 더불어 총 3개까지 방어가 가능하며 최대 세 마리까지 유지할 수 있다. 세 마리까지 채울 경우 발사체에 대해 매우 높은 방어율을 자랑한다. 세 마리를 채웠을 때 다른 아이템이 생겼을 경우 그 자리를 대체하며 이후 아이템이 바뀌거나 사라졌을 때는 검은 파리로 되돌아간다. 슬롯머신 도박 시 일정 확률로 이 파리가 하나 나올 수 있다. 알약으로 1마리씩 획득이 가능하다. Beelzebub 변신 세트 아이템 중 하나이다.
