ID,Name,Description
0,Bad Gas (나쁜 가스),방귀를 뀌어 주변 적들을 중독시킨다.
1,Bad Trip!,하트 1개분의 데미지를 입는다.
2,Balls of Steel (강철같은 용기),소울 하트 2개를 얻는다.
3,Bombs Are Key (폭탄은 열쇠),폭탄과 열쇠의 개수를 서로 바꾼다.
4,Explosive Diarrhea! (폭탄 설사),방귀 뀌는 소리와 함께 5초동안 1초에 한개 터지는 폭탄을 생성한다.
5,Full Health (체력 회복),빨간 하트 체력만을 모두 회복한다.
6,Health Down (체력 감소),최대 체력이 1칸 줄어든다.
7,Health Up (체력 증가),최대 체력이 빈 채로 1칸 올라간다.
8,I Found Pills (이상한 약을 먹어버렸어),아이작의 얼굴이 괴상하게 변한다. 별도의 효과는 없다.
9,Puberty (사춘기),아이작의 머리에 털이 4개 돋아난다. 별도의 효과는 없다.
10,Pretty Fly (예쁜 파리),"원거리 발사체를 막아주며, 파리형 적에게 접촉 데미지를 주는 파리 1마리가 생긴다."
11,Range Down (사거리 감소),사거리가 2 감소한다.
12,Range Up (사거리 증가),사거리가 2.5 증가하며 캐릭터가 파랗게 반짝인다.
13,Speed Down (이동 속도 감소),이동 속도가 0.12 감소
14,Speed Up (이동 속도 증가),이동 속도가 0.15 증가
15,Tears Down (공격 속도 감소),이동 속도가 0.15 증가
16,Tears Up (공격 속도 증가),공격 속도가 0.35 증가
17,Luck Down (행운 감소),행운 수치가 1 감소
18,Luck Up (행운 증가),행운 수치가 1 증가
19,Telepills,임의의 방으로 텔레포트한다.
20,48 Hour Energy!,사용 즉시 액티브 아이템의 충전 게이지가 꽉 차며[10] 배터리 아이템이 1~2개 주변에 떨어진다.
21,Hematemesis (토혈),"빨간 하트가 1칸으로 남게 되며, 1~4개의 빨간 하트를 땅에 떨군다."
22,Paralysis (마비),일정 시간 동안 캐릭터를 움직일 수 없게 된다.
23,I Can See Forever! (모두 잘 보여!),현재 층의 비밀 방이나 일급 비밀 방의 출입구를 모두 개방한다.
24,Pheromones (페로몬),방 안에 있는 모든 적들에게 매혹 상태이상 효과에 빠지게 한다.
25,Amnesia (건망증),해당 층 한정으로 Curse of the Lost 저주를 강제적으로 걸어 지도를 볼 수 없다.
26,Lemon Party (레몬 파티),아이템의 효과와 비슷하게 아이작 주위에 일시적으로 적들이 올라서면 틱당 22 초당 66의 데미지를 주는 노란 웅덩이를 만든다.
27,R U A Wizard?,30초 동안 아이작의 눈 간격이 벌어지며 대각선으로 눈물을 양쪽으로 번갈아가며 발사한다.
28,Percs! (진통제),모든 데미지를 하트 반 칸으로 줄인다.
29,Addicted! (과다 복용!),그 방 한정으로 모든 대미지가 하트 한 칸으로 늘어난다.
30,Re-lax (휴-우식),"짧은 시간 동안, 캐릭터가 이동하는 타일마다 똥을 싼다."
31,???,해당 층 한정으로 Curse of the Maze 저주를 강제적으로 건다.
32,One makes you larger (커져라 알약),해당 층 한정으로 Curse of the Maze 저주를 강제적으로 건다.
33,One makes you small (작아져라 알약),아이작의 크기를 작아지게 하며 아이작 목소리가 높아진다.
34,Infested! (우글거림!),방 안에 있는 모든 똥을 부수며 부서진 똥과 캐릭터의 아래에서 각각 아군 거미 한 마리씩을 생성한다. 부서진 똥에도 그 자리에 거미를 소환한다.
35,Infested? (우글거림?),방 안에 있는 적의 수와 동일한 아군 거미를 생성한다.
36,Power Pill! (최강알약!),"사용 시 6초간 무적이 되며 눈물을 발사할 수 없지만, 접촉한 적에게 초당 1회 40의 데미지를 입힌다. 무적이 된 동안 적들은 공포 상태이상 효과에 걸리며 적을 2명씩 죽일 때 마다 빨간하트 반칸을 회복한다."
37,Retro Vision (전자오락 시야경),30초 동안 3번에 걸쳐 일시적으로 플레이 화면의 해상도를 급격하게 낮춘다. 다음 층으로 가도 효과가 사라지지 않는다.
38,Friends Till The End! (마지막까지 친구야!),적을 추적해서 자폭하는 아군 파리 3마리가 생긴다.
39,X-Lax,사용 시 아이작의 발 밑에 미끄러지는 갈색 장판이 생긴다.
40,Something's wrong...,사용 시 아이작의 발 밑에 검은 장판이 생긴다. 이 장판에 올라온 적들은 벗어날 때 까지 둔화 상태이상 효과를 받는다.
41,I'm Drowsy...,사용 시 방 안의 적과 탄막들을 느려지게 만든다.
42,I'm Excited!!!,"사용 시 사용 즉시, 그리고 사용한 시간 기준으로 30초 후, 60초 후 총 3번효과로 방 안의 적들의 움직임과 탄속을 빨라지게 만든다."
43,Gulp!,사용 시 장착한 장신구를 흡수하여 해당하는 능력을 영구히 적용시킨다
44,Horf!,사용 시 바라보는 방향으로 데미지 200의 사거리 짧은 구토눈물을 발사한다.
45,Feels like I'm walking on sunshine!,잠시동안 공격불능 무적 상태가 된다. 당연하지만 공격은 못해도 무적 상태라 헌혈이나 악마 거지를 통해 이득을 취할 수 있다.
46,Vurp!,사용 시 마지막으로 사용한 알약을 근처에 드랍한다.
47,Shot Speed Up,발사체의 속도가 0.15 증가한다.
48,Shot Speed Down,발사체의 속도가 0.15 감소한다.
49,Experimental Pill,사용 시 공격력을 제외한 랜덤한 능력치 2개가 하나는 상승하고 하나는 감소한다. 감소하는 효과는 PHD가 있으면 등장하지 않아서 상승 효과 하나만 얻을 수 있다.
